"","X","tracer","proj_num_vox","proj_vox_oob","proj_vox_vent","inj_num_vox","inj_vox_oob","inj_vox_vent"
"198","result.198",100142580,44031,132,350,1133,0,0
"199","result.199",112307754,53818,1979,123,1635,0,0
"200","result.200",112458831,61716,15711,378,1170,0,0
"201","result.201",113505468,193262,5176,100,1975,0,0
"202","result.202",114399934,175835,2475,67,3063,0,0
"203","result.203",124059700,73490,5317,1041,2505,0,230
"204","result.204",127711803,126440,15273,378,778,0,0
"205","result.205",127762867,103603,8465,1194,1906,0,48
"206","result.206",146553266,78935,8392,1115,1326,0,91
"207","result.207",148198052,118140,29711,438,1359,0,0
"208","result.208",158916311,100394,13321,534,2159,0,0
"209","result.209",175072215,30860,2028,50,1268,0,0
"210","result.210",127255254,60383,5236,359,823,0,1
"211","result.211",175373569,172294,21214,534,3637,0,0
"212","result.212",125436508,155712,3283,43,3485,0,0
"213","result.213",157659671,264184,10280,332,4115,0,0
"214","result.214",272917631,48426,2437,160,776,0,0
"215","result.215",100141435,105950,749,501,3517,0,34
"216","result.216",120436988,30427,4952,158,215,0,0
"217","result.217",112459547,139134,4510,1455,1623,0,47
"218","result.218",127761449,627666,10866,1091,8745,0,0
"219","result.219",125361005,280703,6008,547,5834,202,0
"220","result.220",146985623,119049,10929,463,4019,58,0
"221","result.221",157550122,170219,5002,433,1302,0,0
"222","result.222",175072921,692260,15342,1138,8068,0,0
"223","result.223",180981417,553964,5855,796,6444,0,0
"224","result.224",158373958,188638,3040,887,1841,0,0
"225","result.225",138058320,366127,5040,251,3250,0,0
"226","result.226",147632458,273875,3759,216,2775,0,0
"227","result.227",100141597,655293,6682,6073,3665,0,0
"228","result.228",158257355,1161947,27344,7814,12649,122,0
"229","result.229",125830911,299392,2785,1195,2999,0,0
"230","result.230",117312486,239425,3846,419,2722,0,0
"231","result.231",146747721,91935,9749,406,2224,0,0
"232","result.232",147049515,183057,21985,429,2287,0,0
"233","result.233",113884251,308089,4604,176,2412,0,0
"234","result.234",174736554,473073,6409,115,2759,0,0
"235","result.235",180707817,31628,2623,80,698,0,0
"236","result.236",100141223,118144,2043,61,1794,0,0
"237","result.237",158375425,112565,12476,207,1450,0,0
"238","result.238",180628971,37378,3262,332,306,0,0
"239","result.239",127396051,367150,2488,169,2812,0,0
"240","result.240",180520257,68376,3907,1006,500,0,0
"241","result.241",100141598,66332,726,603,674,0,0
"242","result.242",272873704,135055,7249,1083,1434,0,0
"243","result.243",100147785,275068,2633,161,2247,0,0
"244","result.244",146658879,566662,13816,1328,3359,0,0
"245","result.245",174781014,263287,11792,289,1884,0,0
"246","result.246",180708524,40729,6167,1122,206,0,0
"247","result.247",266585624,150882,14977,908,1185,0,0
"248","result.248",100142569,269825,7415,535,1644,0,0
"249","result.249",114427219,123518,2770,1747,1680,0,3
"250","result.250",146046430,118069,4390,952,1190,0,0
"251","result.251",146658170,289669,9145,2071,2218,0,0
"252","result.252",158840459,422490,26474,3556,4041,0,0
"253","result.253",113784293,143192,15006,1146,1110,0,0
"254","result.254",272967913,27828,1914,2,477,0,0
"255","result.255",272969333,87092,8255,304,393,0,0
"256","result.256",114291646,322397,5373,1903,3053,0,0
"257","result.257",156931568,118483,548,202,1277,0,0
"258","result.258",267494468,33098,2599,239,1357,0,0
"259","result.259",272875132,198113,18477,904,1925,0,0
"260","result.260",272875838,260782,8906,779,2422,0,4
"261","result.261",272970747,118499,2709,75,825,0,0
"262","result.262",120875111,292284,2248,1312,1576,0,0
"263","result.263",272874417,213826,7322,1078,1073,0,0
"264","result.264",123662982,320744,2987,3677,3083,0,0
"265","result.265",180568155,12643,3033,69,309,0,0
"266","result.266",174957972,1308166,22074,6434,12865,0,0
"267","result.267",175019536,810746,10077,1443,9418,0,0
"268","result.268",175374982,798909,20955,2628,2012,0,0
"269","result.269",147135107,77182,1464,57,386,0,0
"270","result.270",147787606,310703,5522,489,1372,0,0
"271","result.271",158841171,481779,21953,163,3617,0,0
"272","result.272",273025166,22505,938,17,882,0,0
"273","result.273",266693274,55532,2835,216,1162,0,0
"274","result.274",272968624,62593,6683,86,1466,0,0
"275","result.275",117316260,223240,4526,640,3230,0,0
"276","result.276",127468854,157727,12027,442,2298,0,0
"277","result.277",138059031,58328,6652,98,1352,2,0
"278","result.278",113554719,298042,2810,629,4345,0,0
"279","result.279",119846838,223396,3763,1152,4649,0,0
"280","result.280",120280191,283058,8971,1179,5692,0,0
"281","result.281",158315810,163916,676,217,3752,0,0
"282","result.282",158738180,604561,6909,2288,6924,0,0
"283","result.283",175263771,317252,12165,1222,2890,0,0
"284","result.284",126116142,329147,6515,936,6006,0,0
"285","result.285",127649713,213601,1909,491,6388,0,0
"286","result.286",146660293,319378,3704,1238,4365,0,0
"287","result.287",180674463,637661,6426,2297,11856,0,0
"288","result.288",181057754,856929,5026,2205,13243,26,0
"289","result.289",126710740,792387,5093,2325,15067,197,0
"290","result.290",148197327,59710,20171,1390,1385,7,0
"291","result.291",158314987,1155301,15354,6366,9533,39,0
"292","result.292",273055501,25146,4444,131,1981,0,0
"293","result.293",114045733,40407,468,56,2218,0,0
"294","result.294",114472860,109478,1679,165,2279,0,0
"295","result.295",157549402,82601,3654,24,1717,0,0
"296","result.296",175106769,614942,12077,1565,5905,57,0
"297","result.297",277615922,201350,33555,516,2906,0,0
"298","result.298",100141434,232366,1191,61,4273,0,0
"299","result.299",146659588,372424,19289,1540,5767,83,0
"300","result.300",159649643,373848,3297,1135,5892,0,0
"301","result.301",113313632,359951,2891,585,5616,0,0
"302","result.302",113369603,192798,3521,573,3500,0,0
"303","result.303",117302771,267451,1018,138,3110,0,0
"304","result.304",127470271,392689,6526,923,7234,0,0
"305","result.305",158258062,985548,58521,9557,12410,90,0
"306","result.306",113553300,382515,1752,1327,3937,0,0
"307","result.307",113783321,38721,2617,301,1180,0,0
"308","result.308",146986331,33096,1542,297,279,0,0
"309","result.309",112228391,283497,2936,940,4792,288,0
"310","result.310",113095845,485023,1429,75,3768,0,0
"311","result.311",126190743,575172,1448,264,6362,0,0
"312","result.312",112827164,52624,5287,170,768,6,0
"313","result.313",114754390,221557,3578,396,4683,235,0
"314","result.314",100141596,333462,5947,792,2679,1,0
"315","result.315",113368085,194223,10973,260,3447,0,0
"316","result.316",116905391,256075,4032,999,3290,3,0
"317","result.317",147162027,86150,14617,365,549,0,0
"318","result.318",127091083,349322,4864,490,4020,0,0
"319","result.319",100141993,301769,9423,862,2225,0,0
"320","result.320",158914182,522345,5370,1191,6649,0,0
"321","result.321",175263063,161366,10889,358,1983,0,0
"322","result.322",120572378,658228,3995,1136,9364,0,0
"323","result.323",127796728,101467,16264,373,3066,0,0
"324","result.324",113399428,304415,2856,306,2652,0,0
"325","result.325",113400134,724862,4231,242,10636,0,0
"326","result.326",114474520,456026,4051,872,3388,0,0
"327","result.327",120760759,211063,657,20,3299,0,0
"328","result.328",127557915,232616,5781,207,3343,0,0
"329","result.329",127865687,474787,15804,448,5814,0,0
"330","result.330",139311530,537929,11983,209,9245,1,0
"331","result.331",156978574,349068,3243,121,2461,0,0
"332","result.332",273065264,86901,2783,29,6484,0,0
"333","result.333",126523066,383077,3245,149,6326,0,0
"334","result.334",126646502,261702,2891,163,2760,0,0
"335","result.335",128001349,273184,5736,468,2823,18,0
"336","result.336",175158132,375573,16577,1458,3059,0,0
"337","result.337",113096571,463805,2766,582,4548,0,0
"338","result.338",114155923,392493,2033,801,7921,0,0
"339","result.339",120571672,216344,1948,574,2293,0,0
"340","result.340",120761491,386271,5250,2024,3141,0,0
"341","result.341",126352037,17896,1114,45,1105,0,0
"342","result.342",128002057,88032,18700,310,2110,0,0
"343","result.343",147635309,494594,8780,1035,5313,0,0
"344","result.344",158376179,222893,14452,924,2639,0,0
"345","result.345",272829745,332948,1141,310,12191,0,0
"346","result.346",125363160,80804,5058,112,1843,0,0
"347","result.347",127083591,135374,8110,235,1727,0,0
"348","result.348",156979283,282459,4083,1143,2262,0,0
"349","result.349",113442864,73244,4305,107,904,0,0
"350","result.350",126522350,371129,9550,527,5201,0,0
